Review,Date,Rate,cleaned_text
"My experience was very smooth. Received a quote, accepted and scheduled a pickup time with the towing company the gentleman showed up on time was very professional and all went smoothly from time of email offering a quote till time of pickup and removal . Wish all transactions were this good and life would /e simple.",04 avril 2024,5,experience smooth received quote accepted scheduled pickup time towing company gentleman showed time professional went smoothly time email offering quote till time pickup removal wish transaction good life would simple
"They put up with my attitude while I was dealing with my 2018 Kia Forte, cursed car. Thank you for handling everything courteously, patiently and professionally.",12 avril 2024,5,put attitude dealing 2018 kia forte cursed car thank handling everything courteously patiently professionally
They are giving the best offers without wasting your time. Josue was prompt and professional during all communications making the process easy and worthwhile.,07 avril 2024,5,giving best offer without wasting time josue prompt professional communication making process easy worthwhile
"I found out about CarBrain using the Internet/ Google . I was very pleased and thankful because they are very professional, fair and excellent customer service. I can recommend it to anyone .",04 avril 2024,5,found carbrain using internet google pleased thankful professional fair excellent customer service recommend anyone
"Bivian's Team was very communicative and easy to talk to. As a first time seller of a car which had seen better days, I was pleasantly surprised by how simple they made the process from start to finish.",05 avril 2024,5,bivian team communicative easy talk first time seller car seen better day pleasantly surprised simple made process start finish
"All Staff, Evaluators & CoPart involved were very helpful & professional. Midie Soler was especially great at making whole transaction go as smoothly as possible. I would recommend CarBrain to anyone who may need your services.Thanks -",01 avril 2024,5,staff evaluator copart involved helpful professional midie soler especially great making whole transaction go smoothly possible would recommend carbrain anyone may need service thanks
Knowledgeable and helpful. A pleasure to do business with. Bob Herdman Fleet Mgr BIOTECHXRAY.,10 avril 2024,5,knowledgeable helpful pleasure business bob herdman fleet mgr biotechxray
"Received a very competitive offer, car was picked up in a timely manner, we received the amount of money we were offered",14 avril 2024,5,received competitive offer car picked timely manner received amount money offered
Christian was great. Everything went smoothly. Thank you for the ease of getting rid of my old vehicle.,25 avril 2024,5,christian great everything went smoothly thank ease getting rid old vehicle
"My husband passed away almost 3 years ago I knew it was time to let the car  go and Carbrain was the answer.I could do everything on line, everything was emailed to me to review daily check ins as to the process.My son also had his car that was undrivable and they same and picked both of them together. Everett's auto salvage was amazing prompt and cordial. I will continue telling everyone about Carbrain",26 mars 2024,5,husband passed away almost 3 year ago knew time let car go carbrain answer could everything line everything emailed review daily check in process son also car undrivable picked together everett auto salvage amazing prompt cordial continue telling everyone carbrain
process went very smooth. Offer was more than exbected and offered by others.,18 avril 2024,5,process went smooth offer exbected offered others
"What a wonderful experience everything was done professionally and quickly and I got the most money for my car. I definitely would use them again and if you’re considering know that out of six different options, I had they were the best",03 avril 2024,5,wonderful experience everything done professionally quickly got money car definitely would use considering know six different option best
The employees were friendly quick service and payment was instant highly recommended,26 avril 2024,5,employee friendly quick service payment instant highly recommended
They're very polite and explain to me how this worked since I've never used it before but it was painless I got off the phone 20 minutes from them and had a quote and quote and they had picked up like 3 hours later and I cash in my hand,06 avril 2024,5,polite explain worked since never used painless got phone 20 minute quote quote picked like 3 hour later cash hand
"Amazing customer experience from the first interaction. I searched on google places to sell my pride and joy aka my car. Found carbrain and have to say 10/10. It was such an easy experience to enter my information. When I didn't hear back from a tow company same day, I emailed Edvin and he called and emailed me same day to assist. That same day I got a call back from towing company and they fit me in SAME day to pick up my car. the world is so dark and sad lately and this small act of kindness made my entire week.",27 mars 2024,5,amazing customer experience first interaction searched google place sell pride joy aka car found carbrain say 10 10 easy experience enter information hear back tow company day emailed edvin called emailed day assist day got call back towing company fit day pick car world dark sad lately small act kindness made entire week
I'm happy with the outcome  I recommend  this service to anyone  selling a car.,10 avril 2024,5,happy outcome recommend service anyone selling car
Josue from CarBrain gave me the best offer possible for my car and help me through all the process. He also gave me stress free on how this process within company.,04 avril 2024,5,josue carbrain gave best offer possible car help process also gave stress free process within company
"Quick, easy and minimal effort way to get a junk car out of your life.",11 avril 2024,5,quick easy minimal effort way get junk car life
Josue L. from Car Brain was great! I recommend them over all the other similar places!,17 avril 2024,5,josue car brain great recommend similar place
I had a great and efficient experience dealing with car brain/towing. I decided to sell my vehicle to them for a great price and had all my questions answered quickly by Christian (from carbrain) to help assist and make the process easy. AA imports towing company came prepared and picked up/delivered the money in return with no issue. Thank you!,07 mars 2024,5,great efficient experience dealing car brain towing decided sell vehicle great price question answered quickly christian carbrain help assist make process easy aa import towing company came prepared picked delivered money return issue thank
"I’ll admit - I was a little skeptical, but believe the positive reviews you see!  This was an easy process. They picked up my car in less than 48 hrs and I had the check in hand.",06 avril 2024,5,admit little skeptical believe positive review see easy process picked car le 48 hr check hand
Offer was fair. Process was quick and easy.,18 avril 2024,5,offer fair process quick easy
"fast and responsive, hassle free.",25 avril 2024,5,fast responsive hassle free
"Hi Everyone, I was reluctant to get rid of “my ride” but my wife said the next time if I brought my car in for any more repairs that she would divorce me… Long story, shortened version. I didn’t want to waste any time putting an ad on Craigslist so I researched buyers of used cars online and out of the top four, CarBrain came in first and not only that, they paid me the highest out of all the others! One call yesterday and I did everything online, 24 hours later a tow truck was dispatched for Capital Auto Auctions from Manchester, NH. With my title and key’s handed to the driver, a couple of signatures, he handed me the check. If my wife ever thinks about getting rid of her car, she’s definitely going with CarBrain!!! Two thumbs up, five stars, this company is the best!",15 mars 2024,5,hi everyone reluctant get rid ride wife said next time brought car repair would divorce long story shortened version want waste time putting ad craigslist researched buyer used car online top four carbrain came first paid highest others one call yesterday everything online 24 hour later tow truck dispatched capital auto auction manchester nh title key handed driver couple signature handed check wife ever think getting rid car definitely going carbrain two thumb five star company best
Josue from CarBrain gave me the best offer possible for my car and help me through all the process. He indeed knows what he’s doing. Would recommend 10/10.,01 avril 2024,5,josue carbrain gave best offer possible car help process indeed know would recommend 10 10
"The team of Tracy, Elvis, and Jesus kept me well informed about when my car was going to be taken care of.Joe’s Towing also did a great job. The team of Don and Derek, also kept me informed when my car was going to be towed. Great job, great team work. Thank you.",04 avril 2024,5,team tracy elvis jesus kept well informed car going taken care joe towing also great job team derek also kept informed car going towed great job great team work thank
"CarBrain was a GREAT decision for us. We called a few other places and with you, we didn't have to jump through hoops. You returned calls, you were Not pushy and offered much help to make our transaction smooth, Very Professional and Polite, on time with scheduling for pickup and gave us a decent price.Thank you so much for making this easy for us.",11 mars 2024,5,carbrain great decision u called place jump hoop returned call pushy offered much help make transaction smooth professional polite time scheduling pickup gave u decent price thank much making easy u
Car Brain paid the most for my junk car compared to their competitor’s! The best I’ve come across!,10 avril 2024,5,car brain paid junk car compared competitor best come across
I spoke with Marco Martinez he made the experience very pleasant for me. He kept finding me the offer that best fit my car. Captain contact with me every step of the way until the process was finished and my car was sold and I got paid.,12 mars 2024,5,spoke marco martinez made experience pleasant kept finding offer best fit car captain contact every step way process finished car sold got paid
"The total process was clear, quick and the price was best out of 3 or 4 offers.  Eddison was great in communicating all throughout the process and answering questions - very easy to work with.  I have sold cars several times before and this was clearly the best and easiest process",15 mars 2024,5,total process clear quick price best 3 4 offer eddison great communicating throughout process answering question easy work sold car several time clearly best easiest process
They’re very nice and professional they make sure that you get your money and always make sure that everything is good,06 avril 2024,5,nice professional make sure get money always make sure everything good
"Today I had a great experience with Car Brain. I tried contacting other companies for my car with it resulting in confusion. Leilani Morales made this transaction go seamlessly. She communicated with me from beginning to the end to ensure my needs were met. As a sole caregiver to my bedridden mother, I needed it to go well and it did. I will be telling my family and friends about the professional services of Car Brain!",27 février 2024,5,today great experience car brain tried contacting company car resulting confusion leilani morale made transaction go seamlessly communicated beginning end ensure need met sole caregiver bedridden mother needed go well telling family friend professional service car brain
Car Brain provides an easy experience to get rid of your car no matter what the condition it is in.,05 avril 2024,5,car brain provides easy experience get rid car matter condition
Elmer was very good at communicating with me and reached out every step of the way to make sure I was getting everything I needed  from Linders and CarBrain. I would recommend then to anyone looking to get rid of a used vehicle at a good price!,10 mars 2024,5,elmer good communicating reached every step way make sure getting everything needed linders carbrain would recommend anyone looking get rid used vehicle good price
"Reasonable offer for a car that started but could not be driven and with body damage.  Online process was extremely easy.  Same day pick-up, third party tow company’s check cleared without a problem.",23 février 2024,5,reasonable offer car started could driven body damage online process extremely easy day pick third party tow company check cleared without problem
"I was definitely impressed comparatively speaking to the other companies that are out there with their professionalism. However, the fact that they tout that they offer free towing as well as title transfer as a bargaining tool when I wanted more for my car than they were asking by only $140.  The towing wasn't free and neither was the title transfer as was listed on the check that I received when they picked up my car, albeit in a timely manner.  It clearly states a total of $575 - $125 for the car removal and then $90 for the title. How is this free? I feel like they misrepresented that and for this I would never use them again. Don't say it's free if it's not. If they had told me out right the reality of it all I probably would have delivered the car myself because it was drivable. Their communication was excellent right up until the moment when they knew that they had the car and it had been taken away.  I haven't heard from anybody since even though I reached out. Christian, as great as he was failed to respond and follow up when I asked about the above stated issue.  Just like any salesperson he had what he needed.  I question many of the reviews on here because of that.",16 avril 2024,2,definitely impressed comparatively speaking company professionalism however fact tout offer free towing well title transfer bargaining tool wanted car asking 140 towing free neither title transfer listed check received picked car albeit timely manner clearly state total 575 125 car removal 90 title free feel like misrepresented would never use say free told right reality probably would delivered car drivable communication excellent right moment knew car taken away heard anybody since even though reached christian great failed respond follow asked stated issue like salesperson needed question many review
Thanks to CarBrain for being really helpful. & thanks  to the tow truck driver he was nice and helpful when he arrived I gave him the title and the keys & he gave me the cash it was good & fast..,02 avril 2024,5,thanks carbrain really helpful thanks tow truck driver nice helpful arrived gave title key gave cash good fast
"This was such a simple process! I went to the site, gave them my information, got the quote, accepted, and they sent out a towing company to pick up the car in exchange for cash on the spot. I had been shopping around too and this was the best price I got compared to everyone else. They had fantastic customer service and reached out to me frequently with updates and to ensure I was all taken care of. I couldn’t be happier. Very satisfied customer here. Thank you so much!",05 mars 2024,5,simple process went site gave information got quote accepted sent towing company pick car exchange cash spot shopping around best price got compared everyone else fantastic customer service reached frequently update ensure taken care happier satisfied customer thank much
"Muy contenta y satisfecha. Son una agencia muy responsable y diligentes en su labor. Siempre dispuestos a ayudar en tus preguntas o dudas. Y muy importante, tienen agentes bilingües al teléfono cada vez que llamas con la mejor disposición de ayudar al cliente a resolver sus problemas. No tengo quejas en cuanto mi experiencia con Car Bain. Te conectan de inmediato con el comprador y se mantienen al tanto de como ha ido todo para así asegurarse que quedes satisfecho. Gracias a Midie por toda su ayuda y preocupación, y a todo el staff que me atendió cada vez que llamé a la agencia.",07 mars 2024,5,muy contenta satisfecha son una agencia muy responsable diligentes en su labor siempre dispuestos ayudar en tus preguntas dudas muy importante tienen agentes bilinges al telfono cada vez que llama con la mejor disposicin de ayudar al cliente resolver sus problemas tengo quejas en cuanto mi experiencia con car bain te conectan de inmediato con el comprador se mantienen al tanto de como ha ido todo para asegurarse que quedes satisfecho gracias midie por toda su ayuda preocupacin todo el staff que atendi cada vez que llam la agencia
"Christian was my go to person during this whole experience. I gave her an A+ for being there to answer all my questions and to keep me informed on the progress of my pick up. as promised the title was handed over and the check was handed back ,no hassle at all. It takes about five maybe 10 minutes to fill out information needed for you to get a price on your vehicle, if you agree with it all you need to do is call The towing company to arrange a pick up. very simple and easy to do.",05 mars 2024,5,christian go person whole experience gave answer question keep informed progress pick promised title handed check handed back hassle take five maybe 10 minute fill information needed get price vehicle agree need call towing company arrange pick simple easy
Super easy to deal with. Everything went very smoothly and as promised. Great company to deal with.,20 avril 2024,5,super easy deal everything went smoothly promised great company deal
"Great, easy to use, fast service. No run around and games. Just straight business and that's few and far between these days. Highly recommend! If I find myself in a bind and need to get decent money for my car fast, I'll be back.",04 avril 2024,5,great easy use fast service run around game straight business far day highly recommend find bind need get decent money car fast back
"It was so easy to sell my car with Carbrain. They made me an offer,  then they set a date and time to pick up my car.  Once the person arrived,  it took about 5 minutes to do the paperwork and they handed me my check.",29 mars 2024,5,easy sell car carbrain made offer set date time pick car person arrived took 5 minute paperwork handed check
"I finally gave up on my old car. I decided to sell it but wasn't sure l wanted to go through the hassles of the usual sales routine. After getting several offers from online brokers for it, l went with CarBrain. They gave me the best quote, (even increased it while l checked out competitors). The process was easy and the car was picked up in less than a day. I will recommend them highly to anyone tired of trying to sell your own vehicle.",27 février 2024,5,finally gave old car decided sell sure wanted go hassle usual sale routine getting several offer online broker went carbrain gave best quote even increased checked competitor process easy car picked le day recommend highly anyone tired trying sell vehicle
Entire process was simple and quick to complete.,18 avril 2024,5,entire process simple quick complete
"Pros: sold my junky car and had it towed away within a week. CarBrain rep kept in touch by texting. When there was a glitch with my title, they hung in there while I got it straightened out.Cons: estimate went from $350 to $150 without explanation. Multiple personnel who contacted me asked questions about the title glitch that showed they either did not have access to my order status, or did have access but had not read it.",01 avril 2024,4,pro sold junky car towed away within week carbrain rep kept touch texting glitch title hung got straightened con estimate went 350 150 without explanation multiple personnel contacted asked question title glitch showed either access order status access read
Kevin from CarBrain did what he said he would do from the beginning to end. He guided me through the process and patiently waited for my title to be mailed to me. Pick up was well coordinated and the pick up driver was kind and courteous.,02 mars 2024,5,kevin carbrain said would beginning end guided process patiently waited title mailed pick well coordinated pick driver kind courteous
"A great experience and was offered the most cash  for my Mitsubishi Outlander out of three companies that reached out to me.I worked with a woman named Flora.  She answered all my questions, even the ones I didn't know I needed to ask.  She stayed in contact with me during the entire process and made scheduling pick up so easy.The day of pickup, the tow truck driver was a very nice gentleman, we had a nice chat while he loaded the car.  All in all the entire pick up took maybe 10 minutes. He handed me a check, loaded the car and off he went.I would highly recommend Carbrain to anyone.  They seriously do offer the most cash for you junk ride..Professional, straight forward, and flawless pick up...you can't ask for more:)",27 février 2024,5,great experience offered cash mitsubishi outlander three company reached worked woman named flora answered question even one know needed ask stayed contact entire process made scheduling pick easy day pickup tow truck driver nice gentleman nice chat loaded car entire pick took maybe 10 minute handed check loaded car went would highly recommend carbrain anyone seriously offer cash junk ride professional straight forward flawless pick ask
CarBrain is great because you did exactly as you advertised. You were very fair with a price and were very swift in your actions.Steve was great with the flatbed arrangement and tow!I'm a very satisfied customer and will recommend to friends and family.,09 février 2024,5,carbrain great exactly advertised fair price swift action steve great flatbed arrangement tow satisfied customer recommend friend family
From start to finish the experience was great!  step by step was well explained and quite easy.  The one problem i had in the process was answered and solved within just a couple of minutes via their live chat on the website.  Every person i dealt with was helpful and very nice.  Wouldn't hesitate to use them again.,16 février 2024,5,start finish experience great step step well explained quite easy one problem process answered solved within couple minute via live chat website every person dealt helpful nice hesitate use
"It was super easy to set up my pick up online, and I was offered a better deal than I was expecting (and more than offered when I directly called a local place). I was partnered with a local company, which I liked, and it was easy to set up my pick up time with them. Communication with Leilani was friendly, timely, and helpful! She made the process as simple as can be! Thank you!",22 février 2024,5,super easy set pick online offered better deal expecting offered directly called local place partnered local company liked easy set pick time communication leilani friendly timely helpful made process simple thank
"Just sold my car to CarBrain. It was a seamless experience, communication was fantastic and they gave me three times as much as the other guys had offered. I would not hesitate to use them again.",23 février 2024,5,sold car carbrain seamless experience communication fantastic gave three time much guy offered would hesitate use
"The promptness of the offer given and in which the speed of the entire process was very commendable,",02 avril 2024,5,promptness offer given speed entire process commendable
"CarBrain was surprisingly lovely to deal with, especially as a femme who doesn't know much about cars!Josue was my file manager and he was persistent, patient, and kind. He made it very easy for me to just text him the details about my car, and gave me a pretty decent offer ($595, which was $50 higher than the instant offer I got from Peddle). I appreciated how he reached out by both email and text message, and was completely in sync with whatever I'd put into the website.I could certainly have made more money by selling the car privately, but I didn't want to deal with all that would have involved, since my car was on Planned Non-Operation for 4 years.They paid me via Cash app and also offered Venmo. It took a bit longer than I expected to have the company come to pick it up, but everything went smoothly and the pick up person was also very kind (especially about me becoming emotional saying goodbye to my trusty old friend).Only things I'd say to consider:- Check online to see how long your offer is good for, because when I looked online it was good for a couple days longer than I'd been told verbally.- CarBrain has a car marketplace if you want to go through CarBrain but sell for a higher price than their offer. If I'd known that earlier, I probably would have wanted to do that (seems easier than selling via eBay / FB Marketplace / etc).- I had some technical glitches with the website, where it wouldn't let me enter a confirmation code. Hopefully they'll fix that, but the customer service was so excellent that it didn't impede me too much.",19 mars 2024,5,carbrain surprisingly lovely deal especially femme know much car josue file manager persistent patient kind made easy text detail car gave pretty decent offer 595 50 higher instant offer got peddle appreciated reached email text message completely sync whatever put website could certainly made money selling car privately want deal would involved since car planned non operation 4 year paid via cash app also offered venmo took bit longer expected company come pick everything went smoothly pick person also kind especially becoming emotional saying goodbye trusty old friend thing say consider check online see long offer good looked online good couple day longer told verbally carbrain car marketplace want go carbrain sell higher price offer known earlier probably would wanted seems easier selling via ebay fb marketplace etc technical glitch website let enter confirmation code hopefully fix customer service excellent impede much
Everything that is advertised is exactly the way the experience turned out.  In today's world honesty and great customer service is a very positive experience.  I recommend everyone to your company if the want to sell their vehicles as I did.,15 février 2024,5,everything advertised exactly way experience turned today world honesty great customer service positive experience recommend everyone company want sell vehicle
Great communication from start to finish.  Campbells Salvage rearranged their schedule to pick the car up asap for us so that was very much appreciated.,05 mars 2024,5,great communication start finish campbell salvage rearranged schedule pick car asap u much appreciated
This was a very easy process and Jesus Mendez was very helpful with answering all my questions. This process was very fast and efficient and I will definitely use CarBrain again in the future and would recommend them to anyone needing their services. Jesus thank you for your help and knowledge.,19 février 2024,5,easy process jesus mendez helpful answering question process fast efficient definitely use carbrain future would recommend anyone needing service jesus thank help knowledge
They have me an instant quote for my car and offer top dollar to getting your car sold for junked! They assured that the company i sold my car to towed and paid me all on time. I'll use carbrain again and even refer friends and family!,21 février 2024,5,instant quote car offer top dollar getting car sold junked assured company sold car towed paid time use carbrain even refer friend family
"They called many times asking me if I accepted the offer and I told them I had. Then 3 times they said they would pick it up then ignored my calls. They don't keep their word and are very clumsy. Took a hundred dollars less for cash for cars to come and get it, which they did 2 hours after I called them and did it 2 hours earlier than they said. That's the place to call",09 avril 2024,1,called many time asking accepted offer told 3 time said would pick ignored call keep word clumsy took hundred dollar le cash car come get 2 hour called 2 hour earlier said place call
"Thank you! This was absolutely the GREATEST experience on selling a car. Customer service was AWESOME, everyone I spoke to was pleasant. The driver who picked up the car was great.",15 février 2024,5,thank absolutely greatest experience selling car customer service awesome everyone spoke pleasant driver picked car great
"I needed to sell my car fast after it broke down and I just knew that I wouldn't get anything for it so I just thought I would try out car brain, I mean what could I lose right? I mean I just lost my car!! So I filled out the app which was very fast and not much to it, then a few minutes later I got the call, they set up the appointment and the next day they came with my check and took the car! How awesome is that?? Give carbrain a try, especially when you feel stressed about your car along with life being stressful enough already, they will help! They will not disappoint!! Thank you carbrain, you are awesome!! Yours truly, Ryan G.",10 mars 2024,5,needed sell car fast broke knew get anything thought would try car brain mean could lose right mean lost car filled app fast much minute later got call set appointment next day came check took car awesome give carbrain try especially feel stressed car along life stressful enough already help disappoint thank carbrain awesome truly ryan
I was made an offer and they were able to connect me with a tow company in my area and come pick up my vehicle the next business day with cash in hand. Positive experience.,28 février 2024,5,made offer able connect tow company area come pick vehicle next business day cash hand positive experience
"THIS HAS BEEN THE BEST EXPERIENCE  EVER.I WILL RECOMMEND YOUR BUSINESS TO ANYONE.SPECIAL THANK YOU TO CHRIS.VERY PROFESSIONAL, KIND AND THOUGHTFUL. YOUR BUSINESS IS SPECIAL.",01 mars 2024,5,best experience ever recommend business anyone special thank chris professional kind thoughtful business special
"Christian at Car Brain was very helpful. Process could not have been smoother. I was anticipating it to be a pain in the butt and instead it was super easy, smooth and well coordinated. Thanks a bunch",19 février 2024,5,christian car brain helpful process could smoother anticipating pain butt instead super easy smooth well coordinated thanks bunch
"Great communication, Josue kept me updated on the process all the way through.",02 avril 2024,5,great communication josue kept updated process way
"CarBrain was very honest, explained the process completely and the exchange was simple and pleasant. i'd recommend it to anyone who wants a fair price for their vehicle.",18 février 2024,5,carbrain honest explained process completely exchange simple pleasant recommend anyone want fair price vehicle
All perfect 👍,25 avril 2024,5,perfect
