Review,Date,Rate
"I received the best offer for my car from at least 4 other places. Christian from CarBrain was professional, kind and efficient in dealing with the sale and transfer of the vehicle. I would definitely use them again.",18 avril 2024,5
How are you going to say y'all buy any car when i’m here trying to sell mine for cheap and on the website I see WORSE cars that supposedly YOU gave 5k for. But My car doesn’t meet standards and your 600$ that you don’t have or something.,25 avril 2024,1
It was actually an experience dealing with the company and selling my car to it twice. I will also read it five stars.,23 avril 2024,5
"Josue from Carbrain does a great job on get money for your car, right away . They do as the say and get you your money quick. They are very polite also really care about your time, & needs. They set up an appointment so thwy can get the car and you get paid.Thank you , Ramon",22 avril 2024,5
Was offered a bit more than other companies and I priced out 5+ companies.  Josue was responsive and good to deal with. Would be 5 stars but the communication from the 3rd party towing service lacked a little. I wasn't expecting it to happen until at least the next day but they called me just a few hours after I accepted the deal for selling my truck and said they were 10 minutes away. Had to rush home and get what I needed cleaned out of it.  Overall not a bad problem to have as it was a good thing to get rid of it.,24 avril 2024,4
This company got back to me right away about my car and they was the one that gave me the most money for it . I recommend this company totally to buy you junk car. Talk to Christian he is awesome and will take great care of you. Thank you car brain 🧠,22 avril 2024,5
I had an old junker that I was considering restoring but changed my mind and decided to scrap it. I tried the local scrap yards but wasn't offered more than $300. Then I tried car brain and they offered me $400! And their associate Josue was with me from start to finish giving me updates all the way up until there tow company was able to come pick up the car. In my opinion he went above and beyond his job description and was super informative and helpful. I would recommend this company to anyone who has an old junker they want to get rid of!,08 avril 2024,5
Smooth no hassle experience.Found them online Saturday night and they picked up the car and gave me a check on Tuesday. Wish I had known about them sooner. Christian from CarBrain kept me in the loop every step of the way. Can't ask for anything more!,16 avril 2024,5
"Very quick and simple process. Did questionnaire online. Provided information they asked for, met tow truck driver(he was on time and professional), gave him the title, he gave me the check.",05 avril 2024,5
The Customer Service was Magnificent.  Everything was explained  which made things go very smooth.,21 avril 2024,5
"I needed to get rid of a non drivable vehicle, and didn’t want to pay for a tow. My experience was on point from start to finish. I typed in my car info and received the quote. I received a text moments later to confirm and finalize the sale. Next I was put in touch directly to schedule the pick up time. The pickup and payment were complete for me in 24 hours. I recommend CarBrain 100%",11 avril 2024,5
"I was leary about doing this, but it was painless, quick and paid cash on the spot. Great customer service with Josue and the tow company, Central Avenue Auto.  Everyone was professional and eager to help me get rid of a car that wouldn't run anymore.  Thank you!!  I'd add a picture of the tow truck and my car, but don't see that option.",10 avril 2024,5
"My experience was very smooth. Received a quote, accepted and scheduled a pickup time with the towing company the gentleman showed up on time was very professional and all went smoothly from time of email offering a quote till time of pickup and removal . Wish all transactions were this good and life would /e simple.",04 avril 2024,5
"They put up with my attitude while I was dealing with my 2018 Kia Forte, cursed car. Thank you for handling everything courteously, patiently and professionally.",12 avril 2024,5
They are giving the best offers without wasting your time. Josue was prompt and professional during all communications making the process easy and worthwhile.,07 avril 2024,5
"I found out about CarBrain using the Internet/ Google . I was very pleased and thankful because they are very professional, fair and excellent customer service. I can recommend it to anyone .",04 avril 2024,5
"Bivian's Team was very communicative and easy to talk to. As a first time seller of a car which had seen better days, I was pleasantly surprised by how simple they made the process from start to finish.",05 avril 2024,5
"All Staff, Evaluators & CoPart involved were very helpful & professional. Midie Soler was especially great at making whole transaction go as smoothly as possible. I would recommend CarBrain to anyone who may need your services.Thanks -",01 avril 2024,5
Knowledgeable and helpful. A pleasure to do business with. Bob Herdman Fleet Mgr BIOTECHXRAY.,10 avril 2024,5
"Received a very competitive offer, car was picked up in a timely manner, we received the amount of money we were offered",14 avril 2024,5
Christian was great. Everything went smoothly. Thank you for the ease of getting rid of my old vehicle.,25 avril 2024,5
"My husband passed away almost 3 years ago I knew it was time to let the car  go and Carbrain was the answer.I could do everything on line, everything was emailed to me to review daily check ins as to the process.My son also had his car that was undrivable and they same and picked both of them together. Everett's auto salvage was amazing prompt and cordial. I will continue telling everyone about Carbrain",26 mars 2024,5
process went very smooth. Offer was more than exbected and offered by others.,18 avril 2024,5
"What a wonderful experience everything was done professionally and quickly and I got the most money for my car. I definitely would use them again and if you’re considering know that out of six different options, I had they were the best",03 avril 2024,5
The employees were friendly quick service and payment was instant highly recommended,26 avril 2024,5
They're very polite and explain to me how this worked since I've never used it before but it was painless I got off the phone 20 minutes from them and had a quote and quote and they had picked up like 3 hours later and I cash in my hand,06 avril 2024,5
"Amazing customer experience from the first interaction. I searched on google places to sell my pride and joy aka my car. Found carbrain and have to say 10/10. It was such an easy experience to enter my information. When I didn't hear back from a tow company same day, I emailed Edvin and he called and emailed me same day to assist. That same day I got a call back from towing company and they fit me in SAME day to pick up my car. the world is so dark and sad lately and this small act of kindness made my entire week.",27 mars 2024,5
I'm happy with the outcome  I recommend  this service to anyone  selling a car.,10 avril 2024,5
Josue from CarBrain gave me the best offer possible for my car and help me through all the process. He also gave me stress free on how this process within company.,04 avril 2024,5
"Quick, easy and minimal effort way to get a junk car out of your life.",11 avril 2024,5
Josue L. from Car Brain was great! I recommend them over all the other similar places!,17 avril 2024,5
I had a great and efficient experience dealing with car brain/towing. I decided to sell my vehicle to them for a great price and had all my questions answered quickly by Christian (from carbrain) to help assist and make the process easy. AA imports towing company came prepared and picked up/delivered the money in return with no issue. Thank you!,07 mars 2024,5
"I’ll admit - I was a little skeptical, but believe the positive reviews you see!  This was an easy process. They picked up my car in less than 48 hrs and I had the check in hand.",06 avril 2024,5
Offer was fair. Process was quick and easy.,18 avril 2024,5
"fast and responsive, hassle free.",25 avril 2024,5
"Hi Everyone, I was reluctant to get rid of “my ride” but my wife said the next time if I brought my car in for any more repairs that she would divorce me… Long story, shortened version. I didn’t want to waste any time putting an ad on Craigslist so I researched buyers of used cars online and out of the top four, CarBrain came in first and not only that, they paid me the highest out of all the others! One call yesterday and I did everything online, 24 hours later a tow truck was dispatched for Capital Auto Auctions from Manchester, NH. With my title and key’s handed to the driver, a couple of signatures, he handed me the check. If my wife ever thinks about getting rid of her car, she’s definitely going with CarBrain!!! Two thumbs up, five stars, this company is the best!",15 mars 2024,5
Josue from CarBrain gave me the best offer possible for my car and help me through all the process. He indeed knows what he’s doing. Would recommend 10/10.,01 avril 2024,5
"The team of Tracy, Elvis, and Jesus kept me well informed about when my car was going to be taken care of.Joe’s Towing also did a great job. The team of Don and Derek, also kept me informed when my car was going to be towed. Great job, great team work. Thank you.",04 avril 2024,5
"CarBrain was a GREAT decision for us. We called a few other places and with you, we didn't have to jump through hoops. You returned calls, you were Not pushy and offered much help to make our transaction smooth, Very Professional and Polite, on time with scheduling for pickup and gave us a decent price.Thank you so much for making this easy for us.",11 mars 2024,5
Car Brain paid the most for my junk car compared to their competitor’s! The best I’ve come across!,10 avril 2024,5
I spoke with Marco Martinez he made the experience very pleasant for me. He kept finding me the offer that best fit my car. Captain contact with me every step of the way until the process was finished and my car was sold and I got paid.,12 mars 2024,5
"The total process was clear, quick and the price was best out of 3 or 4 offers.  Eddison was great in communicating all throughout the process and answering questions - very easy to work with.  I have sold cars several times before and this was clearly the best and easiest process",15 mars 2024,5
They’re very nice and professional they make sure that you get your money and always make sure that everything is good,06 avril 2024,5
"Today I had a great experience with Car Brain. I tried contacting other companies for my car with it resulting in confusion. Leilani Morales made this transaction go seamlessly. She communicated with me from beginning to the end to ensure my needs were met. As a sole caregiver to my bedridden mother, I needed it to go well and it did. I will be telling my family and friends about the professional services of Car Brain!",27 février 2024,5
Car Brain provides an easy experience to get rid of your car no matter what the condition it is in.,05 avril 2024,5
Elmer was very good at communicating with me and reached out every step of the way to make sure I was getting everything I needed  from Linders and CarBrain. I would recommend then to anyone looking to get rid of a used vehicle at a good price!,10 mars 2024,5
"Reasonable offer for a car that started but could not be driven and with body damage.  Online process was extremely easy.  Same day pick-up, third party tow company’s check cleared without a problem.",23 février 2024,5
"I was definitely impressed comparatively speaking to the other companies that are out there with their professionalism. However, the fact that they tout that they offer free towing as well as title transfer as a bargaining tool when I wanted more for my car than they were asking by only $140.  The towing wasn't free and neither was the title transfer as was listed on the check that I received when they picked up my car, albeit in a timely manner.  It clearly states a total of $575 - $125 for the car removal and then $90 for the title. How is this free? I feel like they misrepresented that and for this I would never use them again. Don't say it's free if it's not. If they had told me out right the reality of it all I probably would have delivered the car myself because it was drivable. Their communication was excellent right up until the moment when they knew that they had the car and it had been taken away.  I haven't heard from anybody since even though I reached out. Christian, as great as he was failed to respond and follow up when I asked about the above stated issue.  Just like any salesperson he had what he needed.  I question many of the reviews on here because of that.",16 avril 2024,2
Thanks to CarBrain for being really helpful. & thanks  to the tow truck driver he was nice and helpful when he arrived I gave him the title and the keys & he gave me the cash it was good & fast..,02 avril 2024,5
"This was such a simple process! I went to the site, gave them my information, got the quote, accepted, and they sent out a towing company to pick up the car in exchange for cash on the spot. I had been shopping around too and this was the best price I got compared to everyone else. They had fantastic customer service and reached out to me frequently with updates and to ensure I was all taken care of. I couldn’t be happier. Very satisfied customer here. Thank you so much!",05 mars 2024,5
"Muy contenta y satisfecha. Son una agencia muy responsable y diligentes en su labor. Siempre dispuestos a ayudar en tus preguntas o dudas. Y muy importante, tienen agentes bilingües al teléfono cada vez que llamas con la mejor disposición de ayudar al cliente a resolver sus problemas. No tengo quejas en cuanto mi experiencia con Car Bain. Te conectan de inmediato con el comprador y se mantienen al tanto de como ha ido todo para así asegurarse que quedes satisfecho. Gracias a Midie por toda su ayuda y preocupación, y a todo el staff que me atendió cada vez que llamé a la agencia.",07 mars 2024,5
"Christian was my go to person during this whole experience. I gave her an A+ for being there to answer all my questions and to keep me informed on the progress of my pick up. as promised the title was handed over and the check was handed back ,no hassle at all. It takes about five maybe 10 minutes to fill out information needed for you to get a price on your vehicle, if you agree with it all you need to do is call The towing company to arrange a pick up. very simple and easy to do.",05 mars 2024,5
Super easy to deal with. Everything went very smoothly and as promised. Great company to deal with.,20 avril 2024,5
"Great, easy to use, fast service. No run around and games. Just straight business and that's few and far between these days. Highly recommend! If I find myself in a bind and need to get decent money for my car fast, I'll be back.",04 avril 2024,5
"It was so easy to sell my car with Carbrain. They made me an offer,  then they set a date and time to pick up my car.  Once the person arrived,  it took about 5 minutes to do the paperwork and they handed me my check.",29 mars 2024,5
"I finally gave up on my old car. I decided to sell it but wasn't sure l wanted to go through the hassles of the usual sales routine. After getting several offers from online brokers for it, l went with CarBrain. They gave me the best quote, (even increased it while l checked out competitors). The process was easy and the car was picked up in less than a day. I will recommend them highly to anyone tired of trying to sell your own vehicle.",27 février 2024,5
Entire process was simple and quick to complete.,18 avril 2024,5
"Pros: sold my junky car and had it towed away within a week. CarBrain rep kept in touch by texting. When there was a glitch with my title, they hung in there while I got it straightened out.Cons: estimate went from $350 to $150 without explanation. Multiple personnel who contacted me asked questions about the title glitch that showed they either did not have access to my order status, or did have access but had not read it.",01 avril 2024,4
Kevin from CarBrain did what he said he would do from the beginning to end. He guided me through the process and patiently waited for my title to be mailed to me. Pick up was well coordinated and the pick up driver was kind and courteous.,02 mars 2024,5
"A great experience and was offered the most cash  for my Mitsubishi Outlander out of three companies that reached out to me.I worked with a woman named Flora.  She answered all my questions, even the ones I didn't know I needed to ask.  She stayed in contact with me during the entire process and made scheduling pick up so easy.The day of pickup, the tow truck driver was a very nice gentleman, we had a nice chat while he loaded the car.  All in all the entire pick up took maybe 10 minutes. He handed me a check, loaded the car and off he went.I would highly recommend Carbrain to anyone.  They seriously do offer the most cash for you junk ride..Professional, straight forward, and flawless pick up...you can't ask for more:)",27 février 2024,5
CarBrain is great because you did exactly as you advertised. You were very fair with a price and were very swift in your actions.Steve was great with the flatbed arrangement and tow!I'm a very satisfied customer and will recommend to friends and family.,09 février 2024,5
From start to finish the experience was great!  step by step was well explained and quite easy.  The one problem i had in the process was answered and solved within just a couple of minutes via their live chat on the website.  Every person i dealt with was helpful and very nice.  Wouldn't hesitate to use them again.,16 février 2024,5
"It was super easy to set up my pick up online, and I was offered a better deal than I was expecting (and more than offered when I directly called a local place). I was partnered with a local company, which I liked, and it was easy to set up my pick up time with them. Communication with Leilani was friendly, timely, and helpful! She made the process as simple as can be! Thank you!",22 février 2024,5
"Just sold my car to CarBrain. It was a seamless experience, communication was fantastic and they gave me three times as much as the other guys had offered. I would not hesitate to use them again.",23 février 2024,5
"The promptness of the offer given and in which the speed of the entire process was very commendable,",02 avril 2024,5
"CarBrain was surprisingly lovely to deal with, especially as a femme who doesn't know much about cars!Josue was my file manager and he was persistent, patient, and kind. He made it very easy for me to just text him the details about my car, and gave me a pretty decent offer ($595, which was $50 higher than the instant offer I got from Peddle). I appreciated how he reached out by both email and text message, and was completely in sync with whatever I'd put into the website.I could certainly have made more money by selling the car privately, but I didn't want to deal with all that would have involved, since my car was on Planned Non-Operation for 4 years.They paid me via Cash app and also offered Venmo. It took a bit longer than I expected to have the company come to pick it up, but everything went smoothly and the pick up person was also very kind (especially about me becoming emotional saying goodbye to my trusty old friend).Only things I'd say to consider:- Check online to see how long your offer is good for, because when I looked online it was good for a couple days longer than I'd been told verbally.- CarBrain has a car marketplace if you want to go through CarBrain but sell for a higher price than their offer. If I'd known that earlier, I probably would have wanted to do that (seems easier than selling via eBay / FB Marketplace / etc).- I had some technical glitches with the website, where it wouldn't let me enter a confirmation code. Hopefully they'll fix that, but the customer service was so excellent that it didn't impede me too much.",19 mars 2024,5
Everything that is advertised is exactly the way the experience turned out.  In today's world honesty and great customer service is a very positive experience.  I recommend everyone to your company if the want to sell their vehicles as I did.,15 février 2024,5
Great communication from start to finish.  Campbells Salvage rearranged their schedule to pick the car up asap for us so that was very much appreciated.,05 mars 2024,5
This was a very easy process and Jesus Mendez was very helpful with answering all my questions. This process was very fast and efficient and I will definitely use CarBrain again in the future and would recommend them to anyone needing their services. Jesus thank you for your help and knowledge.,19 février 2024,5
They have me an instant quote for my car and offer top dollar to getting your car sold for junked! They assured that the company i sold my car to towed and paid me all on time. I'll use carbrain again and even refer friends and family!,21 février 2024,5
"They called many times asking me if I accepted the offer and I told them I had. Then 3 times they said they would pick it up then ignored my calls. They don't keep their word and are very clumsy. Took a hundred dollars less for cash for cars to come and get it, which they did 2 hours after I called them and did it 2 hours earlier than they said. That's the place to call",09 avril 2024,1
"Thank you! This was absolutely the GREATEST experience on selling a car. Customer service was AWESOME, everyone I spoke to was pleasant. The driver who picked up the car was great.",15 février 2024,5
"I needed to sell my car fast after it broke down and I just knew that I wouldn't get anything for it so I just thought I would try out car brain, I mean what could I lose right? I mean I just lost my car!! So I filled out the app which was very fast and not much to it, then a few minutes later I got the call, they set up the appointment and the next day they came with my check and took the car! How awesome is that?? Give carbrain a try, especially when you feel stressed about your car along with life being stressful enough already, they will help! They will not disappoint!! Thank you carbrain, you are awesome!! Yours truly, Ryan G.",10 mars 2024,5
I was made an offer and they were able to connect me with a tow company in my area and come pick up my vehicle the next business day with cash in hand. Positive experience.,28 février 2024,5
"THIS HAS BEEN THE BEST EXPERIENCE  EVER.I WILL RECOMMEND YOUR BUSINESS TO ANYONE.SPECIAL THANK YOU TO CHRIS.VERY PROFESSIONAL, KIND AND THOUGHTFUL. YOUR BUSINESS IS SPECIAL.",01 mars 2024,5
"Christian at Car Brain was very helpful. Process could not have been smoother. I was anticipating it to be a pain in the butt and instead it was super easy, smooth and well coordinated. Thanks a bunch",19 février 2024,5
"Great communication, Josue kept me updated on the process all the way through.",02 avril 2024,5
"CarBrain was very honest, explained the process completely and the exchange was simple and pleasant. i'd recommend it to anyone who wants a fair price for their vehicle.",18 février 2024,5
All perfect 👍,25 avril 2024,5
"CarBrain was responsive, professional, and addressed all the issues along the way. Still waiting for the Bill of Sale but I am sure it will arrive shortly.",14 février 2024,5
"We wanted more money, but the sale was fair enough.  CarBrain was honest, clear, and paid what they said they would pay.",10 avril 2024,5
"Company was excellent, the quoted price was the actual price upon pickup, no hassles or haggling, the Tow Company used was very courteous as well.",01 mars 2024,5
"It was a very easy, smooth and convenient experience.  Edvin kept in constant communication with me to make sure my vehicle was picked up and that I received the check with the correct amount.",16 février 2024,5
"Car Brain demonstrated unexpectedly professional and proactive customer service. I thought their 1.5- 2 times offer compared to many other services was suspiciously good, but they came through as promised with zero hassle.",27 février 2024,5
"Easy, no miscommunication or misunderstandings, got the most money for my car compared to other sites. I'm truly impressed with the service",22 mars 2024,5
My experience with carbrain was awesome! They were very helpful in making ot possible for us to get top dollar for our junk car.,14 février 2024,5
I got a great price customer service was great with me the car was dealt with accordingly and very easily would use this company again,24 avril 2024,5
Everything Josue Lobo said would happen with service and money happened when they said it would and the tower was friendly. No complaints so five stars,08 mars 2024,5
The process was quick and easy. I would highly recommend to someone who needs to sell their car quickly.,27 mars 2024,5
"The process was simple and quick.  The tow driver was pleasant, scheduled our meeting time, and arrived on time with payment.  I'll be sure to refer CarBrain to my family and friends.",01 avril 2024,5
"Unfortunately, my experience with CarBrain was extremely disappointing. The customer service was lacking, with staff members appearing disinterested and unhelpful. The condition of the cars on the lot was subpar, with several vehicles showing signs of neglect and wear. Additionally, the pricing was exorbitant compared to similar models at other dealerships.",16 février 2024,5
"10/10 I’d do it again. Staff was friendly, pickup was easy and money was real",11 mars 2024,1
From the very beginning to the end I was always kept informed of the next step and what I needed to do. Everyone I dealt with was very pleasant,22 avril 2024,5
Very friendly. Clear instructions. Couldn't have been a better experience. Highly recommend. Absolutely would use them again.,08 mars 2024,5
Very helpful and quick response,20 avril 2024,5
"Highest offer, paid on the spot, came when they said they would, good communication, and no issues whatsoever.",01 mars 2024,5
"Dealing with car brain was a good experience, communicated really well throughout the whole process, would deal with them again in a heartbeat.",16 avril 2024,5
Carbrain rep was responsive by voice and by email.  Web site easy to use.   Good follow-up on the pickup of the car by the local company buying it (for parts).,27 février 2024,5
Made the process of getting rid of a junk car quick and painless!,25 février 2024,5
Process was easy and seamless! Worked around my schedule and were prompt and courteous! Would recommend!,05 février 2024,5
CarBrain was the bright spot in a bad experience. One of our cars died while we were on a trip and they were so easy to work with. They gave us a very fair price and picked up the car in the time frame we were given. Thanks CarBrain!!,02 avril 2024,5
"Made it easy and pain free to get done, also paid the best, and most responsive and quick to get a hold of me.",04 mars 2024,5
Jorge Perez was very thorough and made this a straightforward transaction.  I would gladly use this service again.,09 février 2024,5
The company was great to work with. They provided ease and swiftness with the process of scheduling and picking up my vehicle.,06 mars 2024,5
There was confusing communication about picking up my vehicle but eventually it was straightened out.  They gave me a better price for my vehicle compared to the others I came across online.  I recommend them in my case,01 mars 2024,4
"First things first j o s u e was great and helping get this set up and stayed with me through the whole process even coming back now and then to check on me when I found out I did not have my title in hand and had to wait & the company alpha recycling called notified me time that they was going to be there the driver very respectful very nice very helpful very informative it was nice to know that old Betsy was going to be getting used again down the road for other vehicles that we're going to be getting put on the road that made me feel good as she was a very good truck sound silly but a lot of memories over 260,000 Miles. There was no bologna no oh you have to do this all you have to do that everything was legit I thank car brain again,Josue,& alpha recycling for a pleasant experience not too many companies like this around I give them a five-star plus rating!",11 avril 2024,5
"The representative that worked with me, Midie, was very helpful and attentive to my questions throughout the whole process.",19 mars 2024,5
"The company picking up my car was late, and they offered a lower rate than what I was quoted. I texted the situation the the person from Carbrain, but they never responded. It was an okay experience, but one that I'm glad to be done with.",13 mars 2024,3
Easiest thing I could have done. The process only took a day. Nothing was complicating and everything was quick.,23 février 2024,5
Such a fast process.They get you an offer and once excepted they pick up your vehicle fast. My car was picked up the next day once excepted. I sold 2 cars thus far to CarBrain and I didn’t like the offer so much with the second car but I got my money out of the car so I was willing to suck it up. I would use them again in the future and tell others about them!,20 mars 2024,4
This transaction was very easy. We simply told then the car we had they scheduled time to pick it up. They showed up towed the vehicle away and gave us a check. We're very happy with the results.,05 mars 2024,5
Very professional and courteousFrom agent to tow truck driver everyone was super.,17 février 2024,5
"Best quote received for my car , Quick , easy had cash in hand , it's a no-brainer.",27 février 2024,5
Edvin from Carbrain made the process extremely easy and seamless. Got a good price for my car.,19 février 2024,5
"Overall they were great to work with! They are super responsive and caring and they found a good deal for me. I accepted it but they said it expired, they came back with a slightly lower offer & said to take my time.Once official the process was so easy! I would definitely trust them & use them again.",11 mars 2024,4
Easy online quote.  Quick response.  Easy to schedule the  pickup and promptly payment . Great service.,19 février 2024,5
"So fast, so professional, so friendly.Why didn't I do this sooner?",08 mars 2024,5
Christian was great throughout the process.  All went very smooth and hassle-free.,09 février 2024,5
"Fast, fair and easy, I’d use them again and would recommend to friends and family.",08 mars 2024,5
I'm glad that someone gave me more than what other people offer them,15 mars 2024,5
Good and easy,29 avril 2024,5
Fast and easy way to sell your car. Had an amazing experience.,29 février 2024,5
Quick and fast. Picked up the car within a day.,17 avril 2024,5
Quick answers to my inquiry and kept in touch after the vehicle was sold.,16 avril 2024,5
Timely arrival.  Everything ready to sign and very friendly.,07 avril 2024,4
"Excellent service, they came out fast and were easy to talk with!",12 avril 2024,5
Very easy and fast pickup. Josue was very Helpful.,29 février 2024,5
Great! Easy! Wonderful!,15 avril 2024,5
"My agent Leilani, was truly amazing during this transaction, very professional and attentive will definitely recommend you to anyone I know , and if the opportunity comes up again will definitely do business with CarBrain.👍🏻",11 avril 2024,5
The company is sincere and collaborative in helping their customers.,08 mars 2024,5
Delayed response from the pick up person. And price changed when they got here. I answered all questions honestly about the vehicle before they arrived. Giy who showed was gre,13 avril 2024,5
"Speedy, helpful & polite service. I would recommend them.",07 mars 2024,4
"Fast service. Just needed to get rid of an old car that was going to need a new tranny. Probably could have gotten a little more locally, but I just wanted it out of the driveway.",01 mars 2024,5
The speed of communication. There were no days past waiting for a response for what I was to do next in the process.,14 février 2024,4
Process was simple,20 février 2024,4
Good company! Fast and reliable. Thank uou!,09 avril 2024,5
"You came the same day, paid what you said you would and even took the plates off for me.",15 février 2024,5
Great Experience. Accommodating of my schedule,21 février 2024,5
Helpful and easy to work with,19 avril 2024,5
Seamless process. Quick pick up. Convenient online input of all information.,10 avril 2024,5
"Honest, courteous, fast service- thanks!!",15 février 2024,5
Quick adeasy adfodcustoer service,17 avril 2024,5
No hassles. Call took about 4 minutes. Problem solved. No red tape.,14 avril 2024,5
"Very good experience, easy to schedule",07 mars 2024,5
"Easy to schedule, fast pick up and fair price",01 avril 2024,5
It was seamless and I handled it from out of state.,07 mars 2024,5
Quick and simple,14 avril 2024,5
The process was easy and uncomplicated. Katie was amazing!,20 février 2024,5
"Ease of use, attentiveness, great customer service.",10 mars 2024,5
Easy and quick process. They picked up my auto.,02 mars 2024,5
Very friendly service.,11 avril 2024,5
"straight forward, easy to work with, best price",16 février 2024,5
"Followed  up, picked up on a very rainy day. Good job",02 mars 2024,4
"Quick and easy,  gave me the highest price for my vehicle",21 mars 2024,5
They were easy to work with and fast to respond.,06 mars 2024,5
Quick response. No hassles. Quick pickup.,18 mars 2024,5
ExcelenteServicio,18 avril 2024,5
The time from quote to pickup of car was only 1 hour.,18 février 2024,5
look great trust able,22 avril 2024,4
They were efficient and accurate,04 mars 2024,5
"Quick, Prompt And the top bid in a short amount decision / time",22 février 2024,5
Excellent customer service and professional.,08 mars 2024,5
Great experience and customer service.,21 février 2024,4
Easy didn’t take long,28 mars 2024,5
Simple Transaction,04 mars 2024,5
Fast results very pleased,29 février 2024,5
"Quick , easy, friendly",18 mars 2024,5
"Fast, fair & friendly.",27 février 2024,5
"Easy, simple and quick.",13 mars 2024,5
Do what they say. Meet agreed upon date time and location.,05 février 2024,5
"Very easy, simple, straightforward process. Everyone I interacted with (over text or phone) was kind and courteous.",16 février 2024,5
"Great company , very attentive and helpful.  Transaction was smooth and easy.  Would recommend and use them again in the future.",15 février 2024,5
"The entire process was easy, quick and professional.",08 février 2024,5
This company is super easy to work with and wants to be sure you get your payment for your vehicle. They are great!,09 janvier 2024,5
Good communication and quick at picking up my car.,14 février 2024,5
They were honest and easy to work with. The tow truck person called an hour before he showed up just like they said. I helped him push my car out so he could put it on the truck and he even talked to the garbage guy about how he knew he was in the way. The company offered me the most for my broken car and I'm grateful for that.,06 février 2024,5
Using CarBrain to get rid of our running but high mileage car was quick and easy. I didn’t feel comfortable listing it for sale to someone just because of its age and mileage but I knew there was value in parts and scrap weight so I decided to get an online estimate from CarBrain. The process was quick and easy and the check was delivered by the driver when he came to pick up the vehicle. I would definitely use this service again if I ever find myself needing to get rid of a vehicle that is nearing the end of its road worthy life.,07 février 2024,5
Car Brain representative was so patient with me even though I didn’t purchase anything in the same week they still gave me the same treatment and explain me on each of the vehicle I were interested in,12 juillet 2023,4
"I had a great experience with CarBrain! Everything from contact with the company to having my car taken away was done within two days. The company representative that I spoke with was helpful and kind. They also gave me the best price for my car, and I researched many different companies. I suggest for anyone reading this, CarBrain is the best!",03 février 2024,5
So simple I didn't even have to be there for the process,13 février 2024,4
It was a very quick process they came with cash and took the car no hassles,13 février 2024,5
Great communication and quick responses to questions asked. Kept us in the loop on getting our truck sold,12 février 2024,5
Fast and easy. I definitely recommend.,11 février 2024,5
